epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7525,1.17658,2.80913,1.47621,0.95613,0.95476,0.995,0.83616,0.72055,1.33607,1.02318,0.000299633,0.000299633,0.000299633
2,53.3477,1.00607,1.58478,1.26504,0.95801,1,0.995,0.83233,0.71993,0.8412,1.01872,0.000590701,0.000590701,0.000590701
3,79.0676,0.92292,1.34588,1.2171,0.98973,0.99639,0.995,0.83369,0.69805,0.54576,1.02038,0.00086977,0.00086977,0.00086977
4,104.602,0.87048,1.13226,1.17203,0.98074,0.99803,0.995,0.91076,0.4434,0.58384,0.87961,0.000855005,0.000855005,0.000855005
5,130.046,0.83807,0.97052,1.14556,0.98576,1,0.995,0.93278,0.37573,0.38244,0.86806,0.000837007,0.000837007,0.000837007
6,155.06,0.7843,0.83085,1.11974,0.98732,1,0.995,0.91014,0.45572,0.49287,0.89959,0.000819009,0.000819009,0.000819009
7,180.36,0.76126,0.76125,1.09911,0.98503,1,0.995,0.91555,0.43632,0.34791,0.86186,0.000801011,0.000801011,0.000801011
8,206.002,0.76009,0.69907,1.0863,0.99147,1,0.995,0.93998,0.38517,0.35919,0.86554,0.000783013,0.000783013,0.000783013
9,230.643,0.72458,0.64117,1.07979,0.98614,1,0.995,0.96753,0.31141,0.30662,0.82297,0.000765014,0.000765014,0.000765014
10,256.312,0.69684,0.61268,1.06762,0.98818,1,0.995,0.97244,0.30762,0.28508,0.8265,0.000747016,0.000747016,0.000747016
11,282.084,0.66665,0.58311,1.05052,0.98625,1,0.995,0.94118,0.34032,0.27671,0.83618,0.000729018,0.000729018,0.000729018
12,307.45,0.6707,0.54928,1.04973,0.9868,1,0.995,0.97557,0.2762,0.25881,0.81606,0.00071102,0.00071102,0.00071102
13,332.168,0.63872,0.49971,1.03781,0.99319,1,0.995,0.94021,0.34642,0.26575,0.83775,0.000693022,0.000693022,0.000693022
14,357.161,0.63839,0.49042,1.0354,0.99081,1,0.995,0.96624,0.3019,0.24966,0.82247,0.000675023,0.000675023,0.000675023
15,382.831,0.63359,0.4785,1.02859,0.99358,1,0.995,0.95555,0.34541,0.23753,0.83859,0.000657025,0.000657025,0.000657025
16,408.393,0.63338,0.46776,1.02777,0.99295,1,0.995,0.94841,0.33052,0.25004,0.83136,0.000639027,0.000639027,0.000639027
17,432.625,0.60659,0.45155,1.02127,0.99284,1,0.995,0.97298,0.25854,0.21209,0.80513,0.000621029,0.000621029,0.000621029
18,457.524,0.59918,0.43453,1.01306,0.99383,1,0.995,0.97259,0.28536,0.2165,0.81104,0.000603031,0.000603031,0.000603031
19,482.947,0.58415,0.43798,1.01358,0.99159,1,0.995,0.95593,0.30035,0.21322,0.81496,0.000585032,0.000585032,0.000585032
20,508.624,0.57965,0.4179,0.99769,0.99355,1,0.995,0.98895,0.2581,0.21559,0.80187,0.000567034,0.000567034,0.000567034
21,532.985,0.55789,0.39675,0.99994,0.9937,1,0.995,0.97698,0.25294,0.21326,0.81627,0.000549036,0.000549036,0.000549036
22,558.522,0.57408,0.41777,1.0114,0.99289,1,0.995,0.97647,0.26114,0.19746,0.80421,0.000531038,0.000531038,0.000531038
23,584.282,0.55051,0.39127,0.99774,0.98923,1,0.995,0.96499,0.2762,0.2039,0.8129,0.00051304,0.00051304,0.00051304
24,609.824,0.53667,0.38764,0.99178,0.99163,1,0.995,0.96883,0.28618,0.19985,0.8092,0.000495041,0.000495041,0.000495041
25,634.488,0.52196,0.37454,0.97561,0.99315,1,0.995,0.9834,0.25195,0.18473,0.79497,0.000477043,0.000477043,0.000477043
26,659.992,0.51632,0.36799,0.97527,0.99507,1,0.995,0.96396,0.29437,0.19507,0.81064,0.000459045,0.000459045,0.000459045
27,685.466,0.50843,0.34826,0.97467,0.99371,1,0.995,0.98795,0.2267,0.16881,0.79677,0.000441047,0.000441047,0.000441047
28,709.925,0.49321,0.34617,0.96437,0.99394,1,0.995,0.98175,0.25055,0.1753,0.79855,0.000423049,0.000423049,0.000423049
29,734.681,0.50689,0.34254,0.9774,0.99276,1,0.995,0.99054,0.23874,0.1757,0.79564,0.00040505,0.00040505,0.00040505
30,760.403,0.51135,0.3477,0.98045,0.99452,1,0.995,0.97903,0.23568,0.17409,0.79673,0.000387052,0.000387052,0.000387052
31,786.367,0.4674,0.32563,0.96211,0.99385,1,0.995,0.97677,0.2327,0.17601,0.7963,0.000369054,0.000369054,0.000369054
32,810.657,0.46242,0.32055,0.95757,0.9933,1,0.995,0.98444,0.22888,0.1673,0.79217,0.000351056,0.000351056,0.000351056
33,836.036,0.45221,0.31247,0.95016,0.99413,1,0.995,0.98349,0.21804,0.15651,0.78911,0.000333058,0.000333058,0.000333058
34,861.475,0.45029,0.30622,0.9509,0.99422,1,0.995,0.98761,0.22868,0.16669,0.79102,0.000315059,0.000315059,0.000315059
35,887.118,0.45542,0.302,0.95217,0.99436,1,0.995,0.99084,0.21684,0.1454,0.78908,0.000297061,0.000297061,0.000297061
36,912.073,0.4556,0.30731,0.95601,0.99387,1,0.995,0.98647,0.22547,0.15837,0.79131,0.000279063,0.000279063,0.000279063
37,937.382,0.4505,0.30303,0.95051,0.9935,1,0.995,0.98829,0.20916,0.14355,0.7856,0.000261065,0.000261065,0.000261065
38,962.875,0.42618,0.28319,0.94051,0.99447,1,0.995,0.98653,0.23845,0.15385,0.79173,0.000243067,0.000243067,0.000243067
39,988.526,0.42068,0.28774,0.93387,0.99474,1,0.995,0.99239,0.20386,0.14453,0.78538,0.000225068,0.000225068,0.000225068
40,1013.52,0.41889,0.28376,0.94042,0.99557,1,0.995,0.98936,0.20555,0.14809,0.78358,0.00020707,0.00020707,0.00020707
41,1040,0.37397,0.2304,0.91998,0.99402,1,0.995,0.99332,0.2074,0.15363,0.7893,0.000189072,0.000189072,0.000189072
42,1065.41,0.35416,0.21776,0.90303,0.99463,1,0.995,0.98605,0.20745,0.14541,0.78447,0.000171074,0.000171074,0.000171074
43,1090.55,0.33527,0.21023,0.89119,0.99371,1,0.995,0.9905,0.21265,0.1366,0.78555,0.000153076,0.000153076,0.000153076
44,1115.86,0.31901,0.20337,0.88697,0.99556,1,0.995,0.99,0.205,0.14229,0.78213,0.000135077,0.000135077,0.000135077
45,1140.66,0.31321,0.19893,0.87566,0.99446,1,0.995,0.98805,0.21702,0.13862,0.78403,0.000117079,0.000117079,0.000117079
46,1165.11,0.3104,0.19589,0.88511,0.99465,1,0.995,0.99325,0.19084,0.12627,0.78213,9.9081e-05,9.9081e-05,9.9081e-05
47,1188.14,0.29308,0.18902,0.86974,0.99582,1,0.995,0.99088,0.1871,0.12577,0.78104,8.10828e-05,8.10828e-05,8.10828e-05
48,1212.51,0.29587,0.18769,0.87136,0.99733,1,0.995,0.99088,0.19039,0.12736,0.77892,6.30846e-05,6.30846e-05,6.30846e-05
49,1237.25,0.28154,0.18185,0.86587,0.99599,1,0.995,0.99282,0.19207,0.1238,0.78038,4.50864e-05,4.50864e-05,4.50864e-05
50,1260.18,0.27759,0.17668,0.86496,0.99623,1,0.995,0.99316,0.18827,0.12049,0.77952,2.70882e-05,2.70882e-05,2.70882e-05
